#TAG,NAME,PURPOSE
,acpi,reports power stats (battery)
,aspell,is a spell checker
,audacity,is an audio editor
,baobab,is the disk analyzer
,bind-tools,
,blueberry,is a bluetooth manager
,calcurse,is a text-based calendar
,clementine,is a music player
,code,is a code editor
,compton,is for effects
,cronie,is a cron service
,cups,
,deja-dup,
,dmenu,is the launcher
,dosfstools,
A,dropbox,
,evolution,
,evolution-ews,
,exfat-utils,
,feh,sets the background
,ffmpeg,
,filezilla,
,firefox,
A,freerdp-git,
A,g810-led-git,
,gimp,is an image editor
,git,
A,gksu,
,gnome-calculator,
,gnome-screenshot,
A,google-chrome,
,gparted,
,gpicview,is an image viewer
,gpodder,
,gst-plugins-bad,
,gst-plugins-base,
,gst-plugins-good,
,gst-plugins-ugly,
,gstreamer,
,gvfs-smb,
,handbrake,is for ripping DVDs
,hexchat,
,htop,text-based resource monitor
,hunspell-en_us,
,i3-gaps,is the wm
,i3blocks,is the status bar
,imagemagick,
A,ipscan,
A,jdk,
A,jre,
,lame,
,libdvdcss,is a DVD decrypting library
,libreoffice-fresh,
,libvncserver,
,libvorbis,
,lxappearance,simplifies theme settings
A,manuskript-git,
,mesa,
A,mint-themes,Linux Mint themes
A,mint-x-icons,Linux Mint X icons
A,mint-y-icons,Linux Mint Y icons
,mpc,
,mpd,is a music daemon
,mtr-gtk,
,mupdf,
,ncmpcpp,is a music player
,neofetch,
A,nerd-fonts-complete,
A,netextender,
,nmap,
,numlockx,
,openssh,
,opus,
,p7zip,
A,pacmanager-bin,
,pandoc,
,pgkstats,reports package stats
,playerctl,controls media playback
,poppler,
,python,
,python-pip,
,python-pyqt5,
,python-virtualenv,
,qutebrowser,is a vimed web browser
,ranger,is a text-based file manager
A,remmina-git,
A,remmina-plugin-rdesktop,
,samba,
,sc-im,is a text-based spreadsheet program
,scrot,is a screenshot tool
,seahorse,
,shotwell,
,simple-mtpfs,
A,spotify,
,sxiv,is an image viewer
,sysstat,reports system stats
,system-config-printer,
,texstudio,
A,timeshift,
,tk,
,traceroute,
,transmission-gtk,manages torrents
,tree,
,ttf-bitstream-vera,
,ttf-dejavu,
,ttf-inconsolata,
,ttf-linux-libertine,
A,unclutter-xfixes-git,hides an inactive mouse
,unrar,
,unzip,
,virtualbox,
A,virtualbox-ext-oracle,
,virtualbox-guest-iso,
,virtualbox-host-dkms,
,vlc,
,wget,
,x86-video-intel,
,xclip,
,xdotool,
,xorg-apps,
,xorg-server,
,xorg-xinit,
,youtube-dl,
,youtube-viewer,
,zathura,
,zathura-pdf-poppler,
,pacman-contrib,
