#TAG,NAME,PURPOSE
,adobe-source-code-pro-fonts,
,aspell,
,bind-tools,
,blueberry,
,cinnamon,
,clementine,
,cups,
,deja-dup,
,dosfstools,
A,dropbox,
,evolution,
,evolution-ews,
,exfat-utils,
,ffmpeg,
,filezilla,
,firefox,
A,freerdp-git,
A,g810-led-git,
,git,
A,gksu,
,gnome-calculator,
,gnome-screenshot,
A,google-chome,
,gparted,
,gpodder,
,gst-plugins-bad,
,gst-plugins-base,
,gst-plugins-good,
,gst-plugins-ugly,
,gstreamer,
,gvfs-smb,
,hexchat,
,hunspell-en_us,
A,ipscan,
A,jdk,
A,jre,
,lame,
,libreoffice-fresh,
,libvncserver,
,libvorbis,
A,manuskript-git,
,mesa,
,mtr-gtk,
,nemo-fileroller,
,nemo-share,
,neofetch,
A,nerd-fonts-complete,
A,netextender,
,nmap,
,openssh,
,opus,
,p7zip,
A,pacmanager-bin,
,poppler,
,python,
,python-pip,
,python-pyqt5,
,python-virtualenv,
A,remmina-git,
A,remmina-plugin-rdesktop,
,samba,
,seahorse,
,shotwell,
,simple-mtpfs,
A,spotify,
,system-config-printer,
A,timeshift,
,tk,
,traceroute,
,tree,
,ttf-anonymous-pro,
,ttf-bitstream-vera,
,ttf-dejavu,
,ttf-droid,
,ttf-gentium,
,ttf-inconsolata,
,ttf-liberation,
,ttf-linux-libertine,
A,ttf-msfonts,
,ttf-ubuntu-font-family,
,unrar,
,unzip,
,virtualbox,
A,virtualbox-ext-oracle,
,virtualbox-guest-iso,
,virtualbox-host-dkms,
,vlc,
,x86-video-intel,
,xclip,
,xorg-apps,
,xorg-server,
,xorg-xinit,
,youtube-dl,
,youtube-viewer,
,zathura,
,zathura-pdf-poppler,
G,https://github.com/ssharpjr/dotfiles.git
